id,name,close ,up,up%,vol,fi_buy,fi_sell,fi_net,fi_ho,hi_hora,tr_buy,tr_sell,tr_net,se_buy,se_sell,se_net,ma_buy,ma_sell,ma_net
117,18'09/26,77.3,1.2,1.58,"32,306","16,349","12,625","3,724","7,555,953",43.6,4,0,4,"1,495",308,"1,187","17,848","12,933","4,915"
118,18'09/27,78.7,1.4,1.81,"30,732","19,551","9,507","10,044","7,566,408",43.7,5,4,1,389,786,-397,"19,945","10,297","9,648"
119,18'09/28,79.2,0.5,0.64,"38,218","23,507","14,791","8,716","7,575,074",43.7,10,0,10,82,"1,617","-1,535","23,599","16,408","7,191"
120,18'10/01,79.9,0.7,0.88,"27,677","11,262","6,573","4,689","7,579,884",43.7,0,0,0,877,564,313,"12,139","7,137","5,002"
121,18'10/02,78.1,-1.8,-2.25,"39,884","17,057","26,672","-9,615","7,563,764",43.6,0,22,-22,511,"1,117",-606,"17,568","27,811","-10,243"
122,18'10/03,77.8,-0.3,-0.38,"29,804","21,378","20,822",556,"7,562,161",43.6,8,0,8,299,387,-88,"21,685","21,209",476
123,18'10/04,76.2,-1.6,-2.06,"30,305","7,205","21,632","-14,427","7,545,041",43.5,10,0,10,424,"1,114",-690,"7,639","22,746","-15,107"
124,18'10/05,75.6,-0.6,-0.79,"33,643","11,475","19,357","-7,882","7,533,574",43.5,31,433,-402,897,886,10.6,"12,403","20,677","-8,273"
125,18'10/08,75.5,-0.1,-0.13,"19,798","4,995","11,989","-6,994","7,527,180",43.4,44,340,-296,618,379,239,"5,657","12,708","-7,051"
126,18'10/09,75.3,-0.2,-0.26,"21,978","7,642","14,177","-6,535","7,520,423",43.4,60,13,47,376,272,104,"8,078","14,462","-6,384"
127,18'10/11,70.1,-5.2,-6.91,"108,003","25,013","65,862","-40,849","7,479,090",43.2,181,14,167,"1,577","2,283",-706,"26,771","68,159","-41,388"
128,18'10/12,71.9,1.8,2.57,"52,966","17,745","31,169","-13,423","7,462,332",43.1,240,0,240,"1,543",163,"1,380","19,528","31,332","-11,803"
129,18'10/15,70.5,-1.4,-1.95,"41,594","13,149","23,798","-10,649","7,450,833",43,58,0,58,118,"1,213","-1,095","13,325","25,011","-11,686"
130,18'10/16,70.4,-0.1,-0.14,"55,483","14,870","23,859","-8,989","7,439,659",42.9,37,0,37,568,438,130,"15,475","24,297","-8,822"
131,18'10/17,68.1,-2.3,-3.27,"89,222","35,817","53,605","-17,788","7,420,388",42.8,0,"1,078","-1,078",987,"1,750",-763,"36,804","56,434","-19,630"
132,18'10/26,76.2,-6.4,-7.75,"94,813","34,862","28,353","6,509","5,943,584",42.9,191,363,-172,729,"3,743","-3,014","35,782","32,459","3,323"
133,18'10/29,75.5,-0.7,-0.92,"38,484","13,929","18,610","-4,682","5,938,411",42.8,2,695,-693,638,355,283,"14,569","19,660","-5,092"
134,18'10/30,76.4,0.9,1.19,"25,361","16,625","8,615","8,010","5,947,410",42.9,9,191,-182,267,"1,008",-741,"16,901","9,814","7,087"
135,18'10/31,78.8,2.4,3.14,"38,572","26,873","18,402","8,471","5,958,193",43,15,110,-95.4,285,"1,299","-1,014","27,173","19,812","7,361"
136,18'11/01,79.9,1.1,1.4,"27,825","14,939","13,595","1,345","5,960,617",43,0,24.8,-24.8,992,293,699,"15,931","13,912","2,019"
137,18'11/02,81,1.1,1.38,"36,587","22,810","16,299","6,512","5,965,978",43,0,0,0,"1,146",91,"1,055","23,956","16,390","7,567"
138,18'11/05,80,-1,-1.23,"22,501","11,538","12,295",-756,"5,965,949",43,0,0,0,267,658,-391,"11,805","12,953","-1,147"
139,18'11/06,77.3,-2.7,-3.38,"27,209","9,597","15,085","-5,488","5,961,211",43,0,84.6,-84.6,828,715,113,"10,425","15,884","-5,460"
140,18'11/07,77.9,0.6,0.78,"23,857","12,377","16,150","-3,773","5,957,447",43,54,0,54,610,450,160,"13,041","16,601","-3,560"
141,18'11/08,76.6,-1.3,-1.67,"30,437","12,496","15,675","-3,179","5,954,367",43,132,50,82,460,339,121,"13,088","16,064","-2,976"
142,18'11/09,76.1,-0.5,-0.65,"29,900","15,138","19,560","-4,422","5,950,281",42.9,6,29,-23,670,943,-273,"15,814","20,532","-4,718"
143,18'11/12,76.2,0.1,0.13,"22,024","12,778","15,070","-2,292","5,948,260",42.9,50,0,50,567,229,338,"13,395","15,299","-1,904"
144,18'11/13,74.4,-1.8,-2.36,"31,660","15,243","20,874","-5,631","5,943,974",42.9,70,226,-156,942,602,340,"16,255","21,702","-5,447"
145,18'11/14,73.3,-1.1,-1.48,"35,175","11,146","21,407","-10,261","5,934,141",42.8,7,0,7,396,977,-581,"11,549","22,384","-10,835"
146,18'11/15,74.5,1.2,1.64,"37,827","10,675","19,435","-8,760","5,926,337",42.7,7,0,7,"1,084",404,680,"11,766","19,839","-8,073"
147,18'11/16,74.3,-0.2,-0.27,"23,953","12,226","17,031","-4,804","5,922,825",42.7,27,0,27,424,435,-11,"12,677","17,466","-4,788"
148,18'11/19,73.4,-0.9,-1.21,"29,570","10,973","22,516","-11,543","5,911,177",42.6,14,0,14,393,328,65,"11,380","22,844","-11,464"
149,18'11/20,71,-2.4,-3.27,"41,386","7,092","23,787","-16,695","5,895,499",42.5,20,100,-80,"1,374",611,763,"8,486","24,498","-16,012"
150,18'11/21,70.6,-0.4,-0.56,"43,288","13,556","23,940","-10,384","5,885,041",42.4,49,157,-108,878,699,179,"14,483","24,796","-10,313"
151,18'11/22,69.5,-1.1,-1.56,"34,033","10,328","20,158","-9,830","5,872,279",42.4,0,0,0,311,789,-478,"10,639","20,947","-10,308"
152,18'11/23,70,0.5,0.72,"23,607","12,022","8,945","3,077","5,871,321",42.4,45,0,45,255,792,-537,"12,322","9,737","2,585"
153,18'11/26,71,1,1.43,"25,630","10,454","12,466","-2,012","5,869,757",42.3,0,0,0,936,358,578,"11,390","12,824","-1,434"
154,18'11/27,70.7,-0.3,-0.42,"24,442","12,049","13,867","-1,818","5,867,960",42.3,0,0,0,157,484,-327,"12,206","14,351","-2,145"
155,18'11/28,73.1,2.4,3.39,"48,699","25,057","16,978","8,079","5,877,490",42.4,451,110,341,"5,333",229,"5,104","30,841","17,317","13,524"
156,18'11/29,72.4,-0.7,-0.96,"44,210","12,602","21,338","-8,736","5,868,101",42.3,"2,667",0,"2,667",757,"1,412",-655,"16,026","22,750","-6,724"
157,18'11/30,71.9,-0.5,-0.69,"79,512","63,087","58,584","4,503","5,876,222",42.4,"1,276",0,"1,276","1,436","1,299",137,"65,799","59,883","5,916"
158,18'12/03,74,2.1,2.92,"44,756","18,979","17,808","1,171","5,874,141",42.4,"1,216",0,"1,216",879,889,-10,"21,074","18,697","2,377"
159,18'12/04,73.4,-0.6,-0.81,"23,376","14,619","13,001","1,618","5,874,248",42.4,7,0,7,144,596,-452,"14,770","13,597","1,173"
160,18'12/05,71.6,-1.8,-2.45,"23,899","6,272","13,731","-7,460","5,866,788",42.3,0,0,0,75,"1,141","-1,066","6,347","14,872","-8,526"
161,18'12/06,69,-2.6,-3.63,"74,371","20,475","54,488","-34,013","5,832,862",42.1,26,876,-850,352,"4,364","-4,012","20,853","59,728","-38,875"
162,18'12/07,69.1,0.1,0.14,"29,789","5,800","22,271","-16,471","5,818,020",42,26,528,-502,"1,129",205,924,"6,955","23,004","-16,049"
163,18'12/10,67.7,-1.4,-2.03,"34,180","7,114","18,521","-11,407","5,804,797",41.9,11,391,-380,294,456,-162,"7,419","19,368","-11,949"
164,18'12/11,68.4,0.7,1.03,"27,864","8,177","16,475","-8,297","5,801,740",41.8,170,0,170,"1,157",427,730,"9,504","16,902","-7,397"
165,18'12/12,71.2,2.8,4.09,"52,213","25,379","15,354","10,025","5,810,638",41.9,167,74.6,92.4,"1,630",798,832,"27,176","16,227","10,949"
166,18'12/13,73,1.8,2.53,"46,487","25,877","10,777","15,100","5,824,561",42,"1,015",14,"1,001",956,752,204,"27,848","11,543","16,305"
167,18'12/14,71.5,-1.5,-2.05,"31,646","12,528","16,201","-3,672","5,819,055",42,153,214,-60.7,91,"2,204","-2,113","12,772","18,618","-5,846"
168,18'12/17,71.1,-0.4,-0.56,"17,850","9,124","9,703",-579,"5,818,178",42,51,20,31,843,160,683,"10,018","9,883",135
169,18'12/18,70.8,-0.3,-0.42,"22,953","7,800","14,789","-6,989","5,811,191",41.9,32,0,32,289,"1,077",-788,"8,121","15,866","-7,745"
